state,country,year,type,million_60_kg_bags,trees
Minas Gerais,Brazil,2017,Arabica,28.3,
Espirito Santo,Brazil,2017,Arabica,3.3,
Espirito Santo,Brazil,2017,Robusta,7.3,
Sao Paulo,Brazil,2017,Arabica,4.3,
Parana,Brazil,2017,Arabica,1.3,
Minas Gerais,Brazil,2018,Arabica,34.2,
Espirito Santo,Brazil,2018,Arabica,4.7,
Espirito Santo,Brazil,2018,Robusta,10.9,
Sao Paulo,Brazil,2018,Arabica,6.5,
Parana,Brazil,2018,Arabica,1.2,
Minas Gerais,Brazil,2019,Arabica,29.1,
Espirito Santo,Brazil,2019,Arabica,3.9,
Espirito Santo,Brazil,2019,Robusta,12.9,
Sao Paulo,Brazil,2019,Arabica,5.4,
Parana,Brazil,2019,Arabica,1.1,
Minas Gerais,Brazil,2020,Arabica,34.8,
Espirito Santo,Brazil,2020,Arabica,4.8,
Espirito Santo,Brazil,2020,Robusta,14.3,
Sao Paulo,Brazil,2020,Arabica,6.4,
Parana,Brazil,2020,Arabica,1.1,
Minas Gerais,Brazil,2021,Arabica,24.5,
Espirito Santo,Brazil,2021,Arabica,3.7,
Espirito Santo,Brazil,2021,Robusta,15.7,
Sao Paulo,Brazil,2021,Arabica,4.6,
Parana,Brazil,2021,Arabica,1,
Minas Gerais,Brazil,2022,Arabica,28.5,
Espirito Santo,Brazil,2022,Arabica,4.4,
Espirito Santo,Brazil,2022,Robusta,16.6,
Sao Paulo,Brazil,2022,Arabica,5.1,
Parana,Brazil,2022,Arabica,0.8,
Minas Gerais,Brazil,2013,Arabica,29.4,
Espirito Santo,Brazil,2013,Arabica,3.5,
Espirito Santo,Brazil,2013,Robusta,12.3,
Sao Paulo,Brazil,2013,Arabica,4.6,
Parana,Brazil,2013,Arabica,1.7,
Minas Gerais,Brazil,2014,Arabica,26,
Espirito Santo,Brazil,2014,Arabica,3.3,
Espirito Santo,Brazil,2014,Robusta,13.1,
Sao Paulo,Brazil,2014,Arabica,4.6,
Parana,Brazil,2014,Arabica,1,
Minas Gerais,Brazil,2015,Arabica,25.3,
Espirito Santo,Brazil,2015,Arabica,3.1,
Espirito Santo,Brazil,2015,Robusta,9.9,
Sao Paulo,Brazil,2015,Arabica,4.3,
Parana,Brazil,2015,Arabica,1.2,